"geoid","name","B19001001","B19001002","B19001003","B19001004","B19001004_Error","B19001005","B19001006","B19001007","B19001008","B19001008_Error","B19001009","B19001010","B19001010_Error","B19001011","B19001012","B19001013","B19001013_Error","B19001014","B19001014_Error","B19001015","B19001015_Error","B19001016","B19001017"
"86000US90095","90095","0","0","0","0","12","0","0","0","0","12","0","0","12","0","0","0","12","0","12","0","12","0","0"
"86000US90210","90210","8373","615","436","337","138","185","141","135","201","131","99","99","60","320","280","547","161","572","170","505","134","788","3113"
"86000US90211","90211","3614","286","97","133","72","150","104","166","118","57","118","64","47","287","534","357","145","294","139","203","84","265","438"
"86000US90212","90212","5632","430","228","141","76","83","186","66","173","93","238","176","95","358","443","562","213","673","207","381","147","516","978"
"86000US90230","90230","12980","694","477","473","137","647","481","445","512","146","458","302","115","985","1152","1590","257","1509","267","962","226","1000","1293"
"86000US90232","90232","6289","397","248","344","154","210","195","157","134","82","366","165","86","398","603","776","162","618","170","312","126","629","737"
"86000US90245","90245","6629","211","216","97","56","241","216","193","201","99","174","78","53","368","984","861","185","803","162","435","132","773","778"
"86000US90247","90247","15930","1338","1160","1000","220","1162","977","1072","891","173","630","747","174","1236","1511","1865","234","957","178","481","127","557","346"
"86000US90248","90248","3411","206","198","213","69","127","162","128","253","98","194","158","60","320","314","460","130","238","81","179","76","132","129"
"86000US90250","90250","31915","2277","1532","1848","288","1993","2240","1958","1897","292","1910","1604","311","3055","2985","3613","333","1855","298","1244","259","1149","755"
"86000US90262","90262","15183","1090","927","1042","235","1098","1039","963","1068","184","803","848","175","1272","1817","1529","215","804","177","441","114","328","114"
"86000US90265","90265","7031","266","185","225","108","252","144","160","115","70","100","116","85","221","379","530","134","832","186","539","152","765","2202"
"86000US90272","90272","9169","231","110","127","62","165","145","217","100","52","160","199","77","475","431","713","174","712","134","688","206","870","3826"
"86000US90275","90275","15898","459","202","367","141","328","424","298","262","106","381","296","148","820","1298","1515","215","1564","244","1358","235","2515","3811"
"86000US90290","90290","2452","125","26","95","63","52","55","79","14","23","93","41","40","49","270","264","122","238","99","123","79","226","702"
"86000US90291","90291","14097","931","656","587","163","452","472","476","389","107","649","232","94","597","1229","1736","242","1362","223","957","162","1189","2183"
"86000US90292","90292","12206","580","323","294","126","345","358","326","129","110","298","274","163","515","1207","1229","235","1791","339","974","222","1254","2309"
"86000US90293","90293","6532","182","138","204","101","129","225","175","86","60","173","247","134","555","678","855","231","907","194","512","166","539","927"
"86000US90301","90301","12043","961","1077","1141","281","794","901","728","731","158","675","652","170","1083","1150","1185","196","514","126","200","85","183","68"
"86000US90302","90302","10783","824","529","637","179","951","732","871","679","187","694","611","175","710","1025","984","203","703","200","274","99","333","226"
