,zip,geoid,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17
95,90034,86000US90034,25836,2418,835,1066,1205,1125,1161,1081,1070,1339,2162,2816,3631,1945,1180,1403,1399
96,91356,86000US91356,11321,679,600,369,446,373,361,345,466,464,887,1003,1404,913,624,820,1567
97,90018,86000US90018,15569,1735,1839,1335,1511,1017,853,845,781,622,1375,1283,958,526,419,320,150
98,91352,86000US91352,12335,724,943,826,771,558,617,684,689,458,1134,1097,1620,894,382,586,352
99,90023,86000US90023,10860,922,983,936,880,770,645,702,782,419,1072,1061,956,352,217,123,40
100,90247,86000US90247,15930,1338,1160,1000,1162,977,1072,891,630,747,1236,1511,1865,957,481,557,346
101,90732,86000US90732,8191,233,363,368,267,261,400,227,343,109,445,604,1211,1109,847,845,559
102,90024,86000US90024,17261,3158,708,767,502,638,644,350,580,350,972,1145,1234,1243,901,1081,2988
103,90292,86000US90292,12206,580,323,294,345,358,326,129,298,274,515,1207,1229,1791,974,1254,2309
104,90005,86000US90005,15408,1550,1665,1738,1083,1251,1425,1280,745,558,1055,1166,857,292,262,225,256
105,90031,86000US90031,11286,828,1070,1262,915,931,686,555,480,414,919,849,1115,642,228,212,180
106,90046,86000US90046,28716,2112,2474,1532,1415,1082,945,880,1174,1273,2127,2324,3261,1711,1676,1498,3232
107,90058,86000US90058,839,262,133,68,98,15,38,24,18,37,65,48,23,7,1,2,0
108,91606,86000US91606,15137,996,1220,1359,1060,923,881,802,644,726,1415,1370,1617,807,484,495,338
109,91604,86000US91604,13917,709,328,389,490,448,441,384,398,298,841,1116,1809,1451,911,1127,2777
110,91304,86000US91304,16953,891,888,650,964,1132,600,831,808,629,1271,1808,1869,1412,1220,1103,877
111,90049,86000US90049,16252,517,406,315,444,351,251,256,536,321,1027,1005,1686,1401,1102,1783,4851
112,90063,86000US90063,13483,1078,1230,1126,1199,643,848,722,785,698,1230,1261,1527,580,270,237,49
113,90016,86000US90016,17048,1803,1597,1304,1328,921,1028,951,850,504,1451,1346,1867,970,489,400,239
114,90501,86000US90501,14192,607,555,866,650,804,1003,310,537,731,1046,1252,1969,1287,849,1038,688
115,91605,86000US91605,15495,1210,1165,1180,1155,992,845,712,698,745,1136,1394,1849,1119,597,397,301
116,91411,86000US91411,9423,642,695,824,674,638,453,456,482,272,729,827,973,542,588,314,314
117,90036,86000US90036,18450,1491,762,591,527,779,651,713,841,571,1056,1775,2267,1652,1355,1610,1809
