,FY 05/06,FY 06/07,FY 07/08,FY 08/09,FY 09/10,FY 10/11,FY 11/12,FY 12/13,Location 1
69,19,20,19,18,16,16,16,9,"(33.99506171100046, -118.39500957899969)"
70,40,42,40,39,36,35,36,25,"(34.08940047000044, -118.3797890249997)"
71,37,51,56,55,50,26,42,70,"(34.063843148000444, -118.40025834499971)"
72,25,26,24,23,22,21,22,12,"(34.04884418900048, -118.33610868499972)"
73,47,47,45,44,42,41,41,11,"(34.05010424100044, -118.2926890439997)"
74,14,15,14,12,11,11,12,12,"(33.95809005900048, -118.32920881499967)"
75,39,41,39,37,34,33,33,14,"(34.22575108800049, -118.4489267519997)"
76,36,37,34,33,33,32,32,10,"(34.04856176400045, -118.2115199969997)"
77,26,26,25,24,22,22,22,14,"(34.05421027100044, -118.38387767499972)"
78,102,103,95,95,91,90,91,9,"(34.06211383600049, -118.27713826999968)"
79,31,29,35,34,24,22,23,10,"(33.73272331400045, -118.29229799399968)"
80,42,42,40,39,36,35,35,10,"(34.08989145600049, -118.29490934299969)"
81,20,21,19,18,15,14,15,10,"(33.973271508000494, -118.24896959899968)"
82,26,27,26,25,24,23,24,11,"(33.79480040800047, -118.2987286019997)"
83,38,42,39,37,30,30,32,23,"(34.25282047300044, -118.5950275619997)"
84,21,20,19,19,18,17,17,10,"(33.96335186100049, -118.27393599999971)"
85,30,29,25,25,26,25,25,11,"(33.92303021000049, -118.27377957999971)"
86,32,36,33,31,25,25,27,21,"(34.27493220500048, -118.55013931099973)"
87,38,39,37,36,32,31,32,14,"(34.20047184600048, -118.4486964669997)"
88,46,50,44,44,41,50,41,12,"(34.02833141800045, -118.28507659499968)"
89,59,59,58,58,54,55,57,5,"(34.04726260700045, -118.24609754999972)"
90,70,79,84,83,73,74,66,11,"(33.78372064300049, -118.26266940199969)"
91,56,54,48,48,43,45,46,21,"(34.03012156000045, -118.24177861599969)"
92,20,21,19,18,17,16,17,11,"(34.002152760000456, -118.4290396619997)"
93,35,38,36,35,31,31,32,14,"(34.19807340300048, -118.59909883299969)"
94,45,52,48,46,38,39,39,36,"(34.10409093400045, -118.45101669999968)"
95,49,53,48,47,39,40,41,17,"(34.10546395500046, -118.2923675139997)"
96,30,31,30,28,26,26,26,12,"(34.02829231300046, -118.40269589399969)"
97,49,55,51,48,40,40,42,33,"(34.16990038700044, -118.5404890529997)"
98,23,23,22,21,19,19,19,10,"(34.03077331100047, -118.31686899999971)"
99,39,42,41,40,32,31,35,15,"(34.22551211300049, -118.37651723499971)"
100,33,33,30,29,27,27,28,10,"(34.02418193800048, -118.20195663999971)"
101,25,25,23,22,20,20,20,11,"(33.89189390000047, -118.29849831699971)"
102,26,28,25,24,21,21,22,12,"(33.73946241700048, -118.31340603099972)"
103,76,76,74,72,63,67,68,28,"(34.06136215000049, -118.4402367409997)"
104,34,35,35,35,33,32,33,9,"(33.98163129900047, -118.4511079449997)"
105,74,74,67,65,63,63,63,25,"(34.05907233200048, -118.30301712299968)"
106,27,29,26,25,23,23,23,9,"(34.07752122500045, -118.2131059239997)"
107,32,33,32,30,27,27,27,19,"(34.097151960000474, -118.35826821299969)"
108,42,42,34,33,30,27,26,10,"(34.00184426500044, -118.22112680399971)"
109,30,31,29,27,24,23,24,14,"(34.18673293900048, -118.3868062089997)"
110,34,36,34,32,29,29,29,21,"(34.14446038000045, -118.3942796179997)"
111,35,38,36,34,28,28,29,20,"(34.22192313800048, -118.60967892099967)"
112,42,46,43,41,36,35,36,30,"(34.06172278600047, -118.4722594319997)"
113,18,19,17,17,15,15,16,9,"(34.044881544000475, -118.18593660399972)"
114,21,22,20,19,18,18,18,10,"(34.02888323300044, -118.35308896599969)"
115,27,28,26,25,24,23,23,11,"(33.82909119100049, -118.3142098569997)"
116,29,31,28,27,23,23,24,14,"(34.20546425700047, -118.40193986299971)"
117,31,33,31,29,27,26,28,15,"(34.17933339400048, -118.45792960399967)"
118,37,39,36,35,32,33,34,16,"(34.06889204400045, -118.35077742299967)"
