,5/6,6/7,7/8,8/9,9/10,10/11,11/12,12/13,zip,Total,Median Age,Males,Females,Households,AverageHouseHoldSize
0,32,36,34,32,27,26,36,16,91342,91725,31.9,45786,45939,23543,3.83
1,62,66,58,65,55,52,44,36,91302,25709,42.4,12487,13222,9303,2.76
2,31,35,32,31,26,26,27,24,90272,22986,47.3,10952,12034,9212,2.49
3,47,52,50,49,41,41,44,26,91316,26898,42.1,12717,14181,11911,2.26
4,23,26,24,23,17,16,18,18,91214,30356,42.5,14642,15714,10551,2.87
5,98,99,93,90,84,82,82,37,90020,38967,34.6,19381,19586,16514,2.35
6,28,27,26,25,20,21,23,10,90248,9947,41.2,4823,5124,3427,2.89
7,117,119,107,106,101,102,101,8,90012,31103,36.3,19493,11610,10327,2.12
8,16,17,16,15,15,14,14,10,90062,32821,31.8,15720,17101,9155,3.55
9,28,31,29,27,22,21,23,20,91344,51747,41.0,25212,26535,16872,3.03
10,48,56,53,51,41,40,43,45,90210,21741,47.5,10292,11449,8669,2.49
11,24,24,23,23,21,20,21,11,90011,103892,26.2,52794,51098,22168,4.67
12,37,40,37,35,30,30,31,22,91324,27669,36.5,13545,14124,9289,2.95
